id,risk_minus_safe_acc_mps2,risk_minus_safe_abs_turn_radps
1.000000000000000000e+00,1.750719278620870289e-01,1.403694471690337675e-01
2.000000000000000000e+00,-2.042727105694696066e-01,5.755961862416215657e-01
3.000000000000000000e+00,-1.223751130922724473e+00,-2.099151724184120660e-01
4.000000000000000000e+00,1.808618541993476103e-01,-8.971086795645577538e-02
5.000000000000000000e+00,-8.944655939996379312e-02,-2.908546594667447138e-01
6.000000000000000000e+00,-1.821972903248222364e-01,4.598120978301012407e-01
7.000000000000000000e+00,-1.616216005416395707e-01,-9.154311091289613067e-02
8.000000000000000000e+00,1.667972060473471851e-01,-2.037073986256408009e-01
9.000000000000000000e+00,3.039113222622986943e-02,-2.632546915328959347e-01
1.000000000000000000e+01,-8.291859143037221269e-01,-3.117249676788237389e-01
1.100000000000000000e+01,-2.501304585448863582e-01,-2.697080995525200642e-01
1.200000000000000000e+01,2.084757425825764621e+00,-1.890129342089130748e-01
1.300000000000000000e+01,7.785538566407751437e-02,-1.981719450448227171e-02
1.400000000000000000e+01,-2.227211690890030238e-01,8.845932956489599430e-02
1.500000000000000000e+01,-3.153631902565223744e-02,-1.190866893009168148e-01
1.600000000000000000e+01,1.566256693698988567e-01,8.044869521344200081e-03
1.700000000000000000e+01,-6.068294099876176961e-01,-7.939043916733556916e-02
1.800000000000000000e+01,-1.638936240150654366e-01,2.346799089411661932e-01
1.900000000000000000e+01,-5.097499797683191503e-01,5.774866525765451897e-01
2.000000000000000000e+01,-5.135526822310081396e-01,-1.662372153404959585e-01
2.100000000000000000e+01,-1.014579914271466488e-01,1.058254623698251518e-01
2.200000000000000000e+01,-4.934303557883624181e-01,-4.267110372162111753e-01
2.300000000000000000e+01,-2.517866852025446578e-01,3.927596898489261745e-01
2.400000000000000000e+01,-1.426173137170765604e-01,2.819637493453590604e-01
2.500000000000000000e+01,6.307016652129915357e-02,4.662858893966003171e-01
2.600000000000000000e+01,-8.960874953907640439e-01,7.539093130537768417e-01
2.700000000000000000e+01,-2.160037732073585848e-02,1.348119247538015042e+00
2.800000000000000000e+01,1.356641453704844902e-01,-5.122445588559410012e-02
2.900000000000000000e+01,-3.238887451289316766e-01,1.452551673470872107e-01
3.000000000000000000e+01,3.971704978142435172e-01,5.138934499682475954e-01
3.100000000000000000e+01,-1.309372984136254692e+00,1.529368532512229706e-01
3.200000000000000000e+01,1.251836786597776974e-01,-3.421273667702443566e-01
3.300000000000000000e+01,-8.017786946623503552e-02,7.392979533840871031e-02
3.400000000000000000e+01,-1.430191123646239904e+00,-8.425427780023031499e-02
3.500000000000000000e+01,-5.417910043668338060e-01,7.833726623792324206e-01
3.600000000000000000e+01,1.483241810876268219e-01,8.876428329134056217e-02
3.700000000000000000e+01,-2.285577470645460962e-01,-3.560857978945297653e-02
3.800000000000000000e+01,-9.082010743220322313e-01,-9.591719907897222619e-02
3.900000000000000000e+01,-3.847692836420076312e-01,7.389687269238076617e-02
4.000000000000000000e+01,-5.464660214146956907e-01,6.290961737182598768e-02
4.100000000000000000e+01,4.059330404991889352e-01,-6.721435215145298292e-01
4.200000000000000000e+01,2.398829565980252210e-01,-1.734233881810984812e-01
4.300000000000000000e+01,-7.718496964297569818e-01,2.351601507992566731e-01
4.400000000000000000e+01,-4.047525993214396989e-01,-3.503152646201417308e-01
4.500000000000000000e+01,8.056097747626724814e-01,-1.358885331959653886e-01
4.600000000000000000e+01,8.164435904542022282e-03,1.630252548264321533e-01
4.700000000000000000e+01,-2.416316167314645491e-01,1.567994045596230457e-01
4.800000000000000000e+01,1.642036827790135933e-02,-2.739722387720588959e-02
4.900000000000000000e+01,2.495369782860919483e-01,4.466114469399695697e-02
5.000000000000000000e+01,-4.068534084276240193e-01,1.600404907295451817e-01
5.100000000000000000e+01,-7.773378234856039015e-02,2.519699038172958927e-01
5.200000000000000000e+01,-8.659088690809800815e-01,-2.993759030376716979e-01
5.300000000000000000e+01,2.450543444315947950e-01,8.912511868153427663e-02
5.400000000000000000e+01,3.064806407608251515e-01,1.615137695729653711e-01
5.600000000000000000e+01,7.732503444806942960e-02,-5.781346825403310685e-02
5.700000000000000000e+01,-2.856509084921642766e-02,3.254773074295133073e-01
5.800000000000000000e+01,-2.810923655917639263e-01,8.443188673781532039e-02
5.900000000000000000e+01,-2.220954126410628060e-01,1.431887822305301650e-01
6.000000000000000000e+01,-2.564813951168311013e-01,-1.228441475856343335e-01
6.100000000000000000e+01,-3.267087960442364158e-01,-7.650493778716738191e-02
6.200000000000000000e+01,-1.162512179865298201e-01,1.287383434993792930e-01
6.300000000000000000e+01,-8.623882158474302506e-02,-3.388482889635453521e-01
6.400000000000000000e+01,-5.864468800078761479e-01,-3.257654225460870911e-02
