frame,time_s,ped1,ped2,distance,heading_diff_deg,lateral_ratio,formation,ttc
1,0.000000,1,2,0.551723,1.071643,0.989380,True,
1,0.000000,1,3,1.651063,11.025073,0.248201,False,
1,0.000000,1,4,2.086115,7.625235,0.585513,False,
1,0.000000,1,5,4.880259,8.732069,0.168462,False,
1,0.000000,2,3,1.473170,12.096716,0.074664,False,
1,0.000000,2,4,1.714061,8.696878,0.407777,False,
1,0.000000,2,5,4.767321,7.660426,0.067896,False,
1,0.000000,3,4,0.780552,3.399839,0.973547,True,
1,0.000000,3,5,3.294182,19.757142,0.039829,False,
1,0.000000,3,6,4.085530,174.546218,0.110495,False,
1,0.000000,4,5,3.338694,16.357303,0.246853,False,
1,0.000000,4,6,4.305090,177.946057,0.159168,False,
1,0.000000,5,6,1.225161,165.696640,0.994418,False,
1,0.000000,5,7,2.572584,152.113849,0.974712,False,
1,0.000000,6,7,1.891760,13.582791,0.004976,False,
1,0.000000,7,8,4.251598,1.375782,0.697574,False,
11,0.400000,1,2,0.542687,1.071643,0.987547,True,
11,0.400000,1,3,1.575960,11.025073,0.317405,False,
11,0.400000,1,4,2.071004,7.625235,0.621383,False,
11,0.400000,1,5,4.712152,8.732069,0.160415,False,
11,0.400000,1,6,4.511315,174.428709,0.781482,False,
11,0.400000,2,3,1.358857,12.096716,0.007643,False,
11,0.400000,2,4,1.680191,8.696878,0.460609,False,
11,0.400000,2,5,4.599505,7.660426,0.057686,False,
11,0.400000,2,6,4.521602,173.357066,0.709895,False,
11,0.400000,3,4,0.764416,3.399839,0.959833,True,
11,0.400000,3,5,3.247243,19.757142,0.082144,False,
11,0.400000,3,6,3.256051,174.546218,0.001216,False,
11,0.400000,3,7,4.976847,171.870991,0.901014,False,
11,0.400000,4,5,3.281610,16.357303,0.286693,False,
11,0.400000,4,6,3.525674,177.946057,0.299770,False,
11,0.400000,5,6,1.052768,165.696640,0.644858,False,
11,0.400000,5,7,1.807628,152.113849,0.998625,False,
11,0.400000,5,8,4.933792,150.738067,0.994561,False,
11,0.400000,6,7,1.889889,13.582791,0.058065,False,
11,0.400000,7,8,4.443487,1.375782,0.665706,False,
21,0.800000,1,2,0.533732,1.071643,0.985503,True,
21,0.800000,1,3,1.509847,11.025073,0.391190,False,
21,0.800000,1,4,2.060134,7.625235,0.656426,False,
21,0.800000,1,5,4.544382,8.732069,0.151762,False,
21,0.800000,1,6,3.502577,174.428709,0.748838,False,
21,0.800000,2,3,1.251760,12.096716,0.071276,False,
21,0.800000,2,4,1.652329,8.696878,0.513741,False,
21,0.800000,2,5,4.432217,7.660426,0.046697,False,
21,0.800000,2,6,3.541451,173.357066,0.649967,False,
21,0.800000,3,4,0.750590,3.399839,0.942618,True,
21,0.800000,3,5,3.206316,19.757142,0.125465,False,
21,0.800000,3,6,2.494256,174.546218,0.184162,False,
21,0.800000,3,7,4.161083,171.870991,0.938897,False,
21,0.800000,4,5,3.230337,16.357303,0.327353,False,
21,0.800000,4,6,2.859306,177.946057,0.499612,False,
21,0.800000,4,7,4.300985,168.471152,0.969947,False,
21,0.800000,5,6,1.486551,165.696640,0.093809,False,
21,0.800000,5,7,1.168148,152.113849,0.944020,False,
21,0.800000,5,8,4.480301,150.738067,0.999693,False,
21,0.800000,6,7,1.895534,13.582791,0.120751,False,
21,0.800000,7,8,4.643106,1.375782,0.635416,False,
31,1.200000,1,2,0.524694,0.805045,0.980144,True,
31,1.200000,1,3,1.452922,8.625333,0.431560,False,
