frame,ped_id,x,y,vx,vy,time_s,speed,direction_deg,ax,ay,acceleration,nearest_distance,ttc
7,1,-2.647565,5.080180,0.060364,-1.131051,0.000000,1.132661,273.054967,,,,,
17,1,-2.623419,4.627760,0.060364,-1.131051,0.400000,1.132661,273.054967,0.000000,0.000000,0.000000,0.636044,
27,1,-2.599274,4.175339,0.060364,-1.131051,0.800000,1.132661,273.054967,0.000000,0.000000,0.000000,0.660050,
37,1,-2.575128,3.722919,0.060364,-1.131051,1.200000,1.132661,273.054967,0.000000,0.000000,0.000000,0.696156,
47,1,-2.550982,3.270498,0.060364,-1.131051,1.600000,1.132661,273.054967,0.000000,0.000000,0.000000,0.739380,
57,1,-2.543739,2.813274,0.018109,-1.143062,2.000000,1.143205,270.907644,-0.105637,-0.030027,0.109822,0.798925,
67,1,-2.543739,2.353990,0.000000,-1.148209,2.400000,1.148209,270.000000,-0.045273,-0.012868,0.047066,0.867272,
77,1,-2.543739,1.894706,0.000000,-1.148209,2.800000,1.148209,270.000000,0.000000,0.000000,0.000000,0.919682,
87,1,-2.543739,1.435422,0.000000,-1.148209,3.200000,1.148209,270.000000,0.000000,0.000000,0.000000,0.932571,
97,1,-2.543739,0.976138,0.000000,-1.148209,3.600000,1.148209,270.000000,0.000000,0.000000,0.000000,0.947705,
107,1,-2.512139,0.622102,0.078998,-0.885092,4.000000,0.888611,275.100368,0.197495,0.657792,0.686801,0.860411,2.626418
117,1,-2.466998,0.313171,0.112854,-0.772327,4.400000,0.780529,278.313365,0.084641,0.281911,0.294344,0.741494,2.405557
127,1,-2.435193,-0.021670,0.079511,-0.837101,4.800000,0.840868,275.425897,-0.083358,-0.161933,0.182129,0.674899,1.725364
137,1,-2.423395,-0.395374,0.029496,-0.934260,5.200000,0.934726,271.808315,-0.125038,-0.242899,0.273193,0.670942,1.251769
147,1,-2.418675,-0.796950,0.011798,-1.003939,5.600000,1.004008,270.673316,-0.044244,-0.174197,0.179727,0.683533,
157,1,-2.442272,-1.310011,-0.058992,-1.282654,6.000000,1.284010,267.366697,-0.176976,-0.696787,0.718911,0.711954,
167,1,-2.465869,-1.823073,-0.058992,-1.282654,6.400000,1.284010,267.366697,0.000000,0.000000,0.000000,0.741718,
