frame,time_s,ped1,ped2,distance,heading_diff_deg,lateral_ratio,formation,ttc
17,0.400000,1,2,0.636044,4.513664,0.863349,True,
27,0.800000,1,2,0.660050,4.513664,0.783770,True,
37,1.200000,1,2,0.696156,4.513664,0.697439,False,
47,1.600000,1,2,0.739380,2.977783,0.726288,True,
57,2.000000,1,2,0.798925,9.158323,0.773533,True,
67,2.400000,1,2,0.867272,10.065968,0.799748,True,
77,2.800000,1,2,0.919682,8.299614,0.818406,True,
87,3.200000,1,2,0.932571,4.507122,0.828504,True,
97,3.600000,1,2,0.947705,4.507122,0.854594,True,
107,4.000000,1,2,0.860411,4.056151,0.911715,True,
107,4.000000,1,3,7.087020,121.968431,0.740877,False,2.626418
107,4.000000,2,3,7.838589,126.024582,0.831943,False,2.596057
117,4.400000,1,2,0.741494,9.583215,0.969749,True,
117,4.400000,1,3,6.122543,118.755434,0.706631,False,2.405557
117,4.400000,2,3,6.692986,128.338649,0.829180,False,2.147023
127,4.800000,1,2,0.674899,6.220962,0.998142,True,
127,4.800000,1,3,5.082138,129.443729,0.609348,False,1.725364
137,5.200000,1,2,0.670942,0.643963,0.996693,True,
137,5.200000,1,3,3.993085,133.905168,0.625759,False,1.251769
137,5.200000,2,3,4.357712,134.549131,0.647200,False,
147,5.600000,1,2,0.683533,0.491036,0.984452,True,
147,5.600000,1,3,2.998494,143.539603,0.577238,False,
147,5.600000,2,3,3.358348,143.048567,0.568055,False,
157,6.000000,1,2,0.711954,3.580738,0.994139,True,
157,6.000000,1,3,1.958540,149.509896,0.674236,False,
157,6.000000,2,3,2.457230,145.929158,0.437852,False,
167,6.400000,1,2,0.741718,3.379838,0.995097,True,
167,6.400000,1,3,1.088589,159.056077,0.278628,False,
167,6.400000,2,3,1.806691,155.676239,0.368072,False,
177,6.800000,1,2,0.771525,3.379838,0.995808,True,
177,6.800000,1,3,1.253796,161.860602,0.999993,False,
177,6.800000,2,3,1.875974,158.480764,0.938404,False,
187,7.200000,1,2,0.826481,6.183703,0.998559,True,
187,7.200000,1,3,2.236230,163.200602,0.903436,False,
187,7.200000,2,3,2.599333,157.016899,0.998894,False,
197,7.600000,1,2,0.857773,3.526531,0.999956,True,
197,7.600000,1,3,3.399685,163.509051,0.816464,False,
197,7.600000,2,3,3.597435,159.982520,0.942222,False,
207,8.000000,1,2,0.871580,1.520303,0.999678,True,
207,8.000000,1,3,4.586731,172.257248,0.555416,False,
207,8.000000,2,3,4.702214,170.736945,0.713571,False,
217,8.400000,1,2,0.850861,2.342132,0.999998,True,4.927393
217,8.400000,5,6,0.654060,2.861535,0.980693,True,
227,8.800000,1,2,0.778100,8.366108,0.997919,True,0.981808
227,8.800000,1,5,4.440647,65.297196,0.465563,False,
227,8.800000,1,6,4.451550,62.435661,0.626784,False,
227,8.800000,4,5,8.707941,111.557528,0.912463,False,2.694306
227,8.800000,5,6,0.694925,2.861535,0.985086,True,
237,9.200000,1,2,0.713165,7.471064,0.997647,True,0.697372
237,9.200000,1,4,4.419977,176.854724,0.640665,False,
237,9.200000,1,5,3.754931,63.457072,0.393925,False,
237,9.200000,1,6,3.730221,62.435661,0.574687,False,
237,9.200000,2,4,4.174575,175.674213,0.216970,False,
237,9.200000,2,5,4.439409,70.928136,0.469749,False,
237,9.200000,2,6,4.438998,69.906725,0.619319,False,
237,9.200000,4,5,7.481771,113.397652,0.897217,False,2.246918
237,9.200000,5,6,0.706843,1.021411,0.987550,True,
247,9.600000,1,2,0.660326,6.044291,0.998776,True,0.464524
247,9.600000,1,4,3.419605,176.854724,0.714250,False,
247,9.600000,1,5,3.098855,60.786360,0.299982,False,
247,9.600000,1,6,3.131302,57.262733,0.583019,False,
247,9.600000,2,4,3.159228,177.100985,0.033585,False,
247,9.600000,2,5,3.699876,66.830651,0.391909,False,
247,9.600000,2,6,3.777107,63.307025,0.632812,False,
247,9.600000,4,5,6.222621,116.068364,0.869206,False,1.803459
247,9.600000,5,6,0.740905,3.523626,0.999039,True,
257,10.000000,1,2,0.667663,0.831596,0.999397,True,
257,10.000000,1,4,2.476896,172.489729,0.089343,False,
257,10.000000,1,5,2.482451,67.396562,0.145782,False,
257,10.000000,1,6,2.501131,64.138621,0.515100,False,
257,10.000000,2,4,2.131766,173.321326,0.061038,False,
